,0,1,2,3,4,5
185,Mahen Bonetti,African Film Festival Inc,US,Red Leaves,Bazi Gete,2014
186,Mahen Bonetti,African Film Festival Inc,US,The Colonial Misunderstanding,Jean-Marie Téno,2004
187,Mahen Bonetti,African Film Festival Inc,US,Restless City,Andrew Dosunmu,2011
188,Mahen Bonetti,African Film Festival Inc,US,Conversations on a Sunday Afternoon,Khalo Matabane,2005
189,Mahen Bonetti,African Film Festival Inc,US,Belle,Amma Asante,2013
190,Andreas Borcholte,Spiegel Online,Germany,Requiem for a Dream,Darren Aronofsky,2000
191,Andreas Borcholte,Spiegel Online,Germany,Antichrist,Lars von Trier,2009
192,Andreas Borcholte,Spiegel Online,Germany,Children of Men,Alfonso Cuarón,2006
193,Andreas Borcholte,Spiegel Online,Germany,The Child,Jean-Pierre and Luc Dardenne,2005
194,Andreas Borcholte,Spiegel Online,Germany,No Country For Old Men,Joel and Ethan Coen,2007
195,Andreas Borcholte,Spiegel Online,Germany,Fish Tank,Andrea Arnold,2009
196,Andreas Borcholte,Spiegel Online,Germany,The Tree of Life,Terrence Malick,2011
197,Andreas Borcholte,Spiegel Online,Germany,Inception,Christopher Nolan,2010
198,Andreas Borcholte,Spiegel Online,Germany,Kill Bill: Vol. 1,Quentin Tarantino,2003
199,Andreas Borcholte,Spiegel Online,Germany,Irreversible,Gaspar Noé,2002
200,Utpal Borpujari,Freelance film critic,India,Amour,Michael Haneke,2012
201,Utpal Borpujari,Freelance film critic,India,A Separation,Asghar Farhadi,2011
202,Utpal Borpujari,Freelance film critic,India,In the Mood for Love,Wong Kar-wai,2000
203,Utpal Borpujari,Freelance film critic,India,A Prophet,Jacques Audiard,2009
204,Utpal Borpujari,Freelance film critic,India,Monsoon Wedding,Mira Nair,2001
205,Utpal Borpujari,Freelance film critic,India,Son of Saul,László Nemes,2015
206,Utpal Borpujari,Freelance film critic,India,Thithi,Raam Reddy,2015
207,Utpal Borpujari,Freelance film critic,India,Blue Is the Warmest Color,Abdellatif Kechiche,2013
208,Utpal Borpujari,Freelance film critic,India,No Man's Land,Danis Tanovic,2001
209,Utpal Borpujari,Freelance film critic,India,Waltz with Bashir,Ari Folman,2008
210,Richard Brody,The New Yorker,US,In Praise of Love,Jean-Luc Godard,2001
211,Richard Brody,The New Yorker,US,The Wolf of Wall Street,Martin Scorsese,2013
212,Richard Brody,The New Yorker,US,The Last of the Unjust,Claude Lanzmann,2013
213,Richard Brody,The New Yorker,US,Like Someone In Love,Abbas Kiarostami,2012
214,Richard Brody,The New Yorker,US,The Grand Budapest Hotel,Wes Anderson,2014
215,Richard Brody,The New Yorker,US,Butter on the Latch,Josephine Decker,2013
216,Richard Brody,The New Yorker,US,Heaven Knows What,Josh and Benny Safdie,2014
217,Richard Brody,The New Yorker,US,The Future,Miranda July,2011
